titulo|tipo|categoria|marca|modelo|año|kilometraje_km|precio|precio_etiqueta|tipo_transmision|caja|detalle|tags|ubicacion|url_auto
Hyundai Tucson 2026|nuevo|camionetas-suv|Hyundai|Tucson|2026.0|0.0|26090.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2026-1702783
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846409
Hyundai Creta Grand 2025|nuevo|camionetas-suv|Hyundai|Creta Grand|2025.0|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1702781
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846418
Dfsk Glory 560 2026|nuevo|camionetas-suv|DFSK|Glory 560|2026.0|0.0|16190.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-560-2026-1827069
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846406
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846413
Nissan Kicks 2026|nuevo|camionetas-suv|Nissan|Kicks|2026.0|0.0|19390.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-kicks-2026-1709641
Dfsk Glory 580 2025|nuevo|camionetas-suv|DFSK|Glory 580|2025.0|0.0|19290.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-580-2025-1826170
Hyundai Santa Fe 2025|nuevo|camionetas-suv|Hyundai|Santa Fe|2025.0|0.0|36990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-santa-fe-2025-1702784
Dfsk Glory 600 2024|nuevo|camionetas-suv|DFSK|Glory 600|2024.0|0.0|27990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-600-2024-1827087
Hyundai Stargazer 2025|nuevo|camionetas-suv|Hyundai|Stargazer|2025.0|0.0|22490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-stargazer-2025-1827060
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846410
Ford Bronco Sport 2025|nuevo|camionetas-suv|Ford|Bronco Sport|2025.0|0.0|49490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-bronco-sport-2025-1706293
Nissan X-Trail E-Power 2025|nuevo|camionetas-suv|Nissan|X-Trail E-Power|2025.0|0.0|47740.0|$40K a más|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-e-power-2025-1827089
Nissan X-Trail 2025|nuevo|camionetas-suv|Nissan|X-Trail|2025.0|0.0|31660.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-2025-1709646
Dfsk E5 2025|nuevo|camionetas-suv|DFSK|E5|2025.0|0.0|29990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-e5-2025-1827084
Honda Hr-V 2025|nuevo|camionetas-suv|Honda|Hr-V|2025.0|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-hr-v-2025-1805804
Hyundai Venue 2026|nuevo|camionetas-suv|Hyundai|Venue|2026.0|0.0|17990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-venue-2026-1702778
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846407
Mazda Cx-30 2024|nuevo|camionetas-suv|Mazda|Cx-30|2024.0|0.0|27990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-30-2024-1705778
Honda Pilot 2025|nuevo|camionetas-suv|Honda|Pilot|2025.0|0.0|57990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-pilot-2025-1718653
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846346
Honda Cr-V 2025|nuevo|camionetas-suv|Honda|Cr-V|2025.0|0.0|41490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-cr-v-2025-1709635
Dfsk Glory 500 2025|nuevo|camionetas-suv|DFSK|Glory 500|2025.0|0.0|13490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-500-2025-1827067
Renault Kardian 2025|nuevo|camionetas-suv|Renault|Kardian|2025.0|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-kardian-2025-1827079
Mazda Cx-90 2025|nuevo|camionetas-suv|Mazda|Cx-90|2025.0|0.0|48490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-90-2025-1743573
Mazda Cx-3 2025|nuevo|camionetas-suv|Mazda|Cx-3|2025.0|0.0|19990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-3-2025-1705763
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846415
Mazda Cx-9 2025|nuevo|camionetas-suv|Mazda|Cx-9|2025.0|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-9-2025-1734339
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846408
Ford Expedition 2025|nuevo|camionetas-suv|Ford|Expedition|2025.0|0.0|83990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-expedition-2025-1743700
Renault Kwid 2025|nuevo|camionetas-suv|Renault|Kwid|2025.0|0.0|10990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-kwid-2025-1705788
Renault Duster 2025|nuevo|camionetas-suv|Renault|Duster|2025.0|0.0|19490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-duster-2025-1705784
Mazda Cx-5 2026|nuevo|camionetas-suv|Mazda|Cx-5|2026.0|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-5-2026-1705764
Hyundai Palisade 2025|nuevo|camionetas-suv|Hyundai|Palisade|2025.0|0.0|49990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-palisade-2025-1702785
Mazda Cx-60 2025|nuevo|camionetas-suv|Mazda|Cx-60|2025.0|0.0|44490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-60-2025-1743570
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846341
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846373
Hyundai Kona Hev 2025|nuevo|camionetas-suv|Hyundai|Kona Hev|2025.0|0.0|25990.0|$20K - $30K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-kona-hev-2025-1827057
Nissan Qashqai 2025|nuevo|camionetas-suv|Nissan|Qashqai|2025.0|0.0|31090.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-qashqai-2025-1827053
Hyundai Creta 2026|nuevo|camionetas-suv|Hyundai|Creta|2026.0|0.0|24290.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-2026-1702779
Renault Koleos 2025|nuevo|camionetas-suv|Renault|Koleos|2025.0|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-koleos-2025-1705787
Ford Explorer 2025|nuevo|camionetas-suv|Ford|Explorer|2025.0|0.0|51990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-explorer-2025-1706299
Renault Stepway 2025|nuevo|camionetas-suv|Renault|Stepway|2025.0|0.0|16490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-stepway-2025-1705791
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846416
Honda Hr-V 2025|nuevo|camionetas-suv|Honda|Hr-V|2025.0|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-hr-v-2025-1769746
Ford Escape 2024|nuevo|camionetas-suv|Ford|Escape|2024.0|0.0|37990.0|$30K - $40K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-escape-2024-1827144
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846340
Ford Bronco 2024|nuevo|camionetas-suv|Ford|Bronco|2024.0|0.0|84990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-bronco-2024-1827048
Kia Sorento 2025|nuevo|camionetas-suv|Kia|Sorento|2025.0|0.0|35990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sorento-2025-1846419
Kia Sportage 2025|nuevo|camionetas-suv|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846376
Kia Sportage 2024|nuevo|camionetas-suv|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"||Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846411
Nissan Patrol 2024|nuevo|camionetas-suv|Nissan|Patrol|2024.0|0.0|84800.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-patrol-2024-1709644
Honda Zr-V 2025|nuevo|camionetas-suv|Honda|Zr-V|2025.0|0.0|33990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-zr-v-2025-1769765
Jaguar F-Pace 2022|seminuevos|camionetas-suv|Jaguar|F-Pace|2022.0|22000.0|69990.0|$40K a más|Automática||"Gasolina-Híbrido|Automática
Kilometraje:
22,000 Kms
Lima, Lima
ENTREGA INMEDIATA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/jaguar-f-pace-2022-1846189
Toyota 4runner 2026|seminuevos|camionetas-suv|Toyota|4runner|2026.0|4237.0|74000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
4,237 Kms
Lima, Lima
TOYOTA 4RUNNER 2.4T AT SR5 2026"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-4runner-2026-1847476
Toyota Fortuner 2018|seminuevos|camionetas-suv|Toyota|Fortuner|2018.0|58780.0|28000.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Kilometraje:
58,780 Kms
Lima, Lima
FORTUNER FORTUNER 2.7 FULL 4X2 MT"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-fortuner-2018-1847937
Audi Q5 2021|seminuevos|camionetas-suv|Audi|Q5|2021.0|41000.0|40000.0|$30K - $40K|Automática|Secuencial|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
41,000 Kms
Lima, Lima
Auto En Excelente Estado - Disponible En Tienda - San Isidro"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-q5-2021-1846003
Chevrolet Tahoe 2024|seminuevos|camionetas-suv|Chevrolet|Tahoe|2024.0|3251.0|74500.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
3,251 Kms
Lima, Lima
CHEVROLET TAHOE Z71 AT 4WD 2024"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/chevrolet-tahoe-2024-1845585
Lexus Rx 450hl 2019|seminuevos|camionetas-suv|Lexus|Rx 450hl|2019.0|59306.0|48000.0|$40K a más|Automática|Secuencial|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
59,306 Kms
Lima, Lima
LEXUS RX450HL HIBRIDO 2019 / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/lexus-rx-450hl-2019-1770041
Land Rover Range Rover 2018|seminuevos|camionetas-suv|Land Rover|Range Rover|2018.0|69871.0|83000.0|$40K a más|Automática||"Gasolina|Automática
Kilometraje:
69,871 Kms
Lima, Lima"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-range-rover-2018-1828219
Nissan Kicks 2022|seminuevos|camionetas-suv|Nissan|Kicks|2022.0|51308.0|17000.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Kilometraje:
51,308 Kms
Arequipa, Arequipa
NISSAN KICKS ADVANCE MT"|SEMINUEVO|Arequipa, Arequipa|https://neoauto.com/auto/seminuevo/nissan-kicks-2022-1844631
Volvo Xc-60 2024|seminuevos|camionetas-suv|Volvo|Xc-60|2024.0|8262.0|58990.0|$40K a más|Automática||"Gasolina-Híbrido|Automática
Kilometraje:
8,262 Kms
Lima, Lima
ENTREGA INMEDIATA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/volvo-xc-60-2024-1846665
Kia Niro 2022|seminuevos|camionetas-suv|Kia|Niro|2022.0|8710.0|24900.0|$20K - $30K|Automática|Secuencial|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
8,710 Kms
Lima, Lima
KIA NIRO 1.6 ECO HYBRID / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-niro-2022-1744357
Jeep Grand Cherokee Laredo 2015|seminuevos|camionetas-suv|Jeep|Grand Cherokee Laredo|2015.0|115849.0|26500.0|$20K - $30K|Automática|Secuencial|"Diesel|Automática - Secuencial
Kilometraje:
115,849 Kms
Lima, Lima
JEEP GRAND CHEROKEE LAREDO DIESEL 2015"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-laredo-2015-1793582
Mercedes Benz Gle 63 S Amg 2023|seminuevos|camionetas-suv|Mercedes Benz|Gle 63 S Amg|2023.0|160.0|169000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
160 Kms
Lima, Lima
Camioneta Disponible En Tienda - Pezet - San Isidro"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-63-s-amg-2023-1838555
Toyota Fortuner 2020|seminuevos|camionetas-suv|Toyota|Fortuner|2020.0|34073.0|34000.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
34,073 Kms
Lima, Lima
FORTUNER 2.7 CITY 4X2 AT"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-fortuner-2020-1847948
Jetour X70 Plus 2023|seminuevos|camionetas-suv|Jetour|X70 Plus|2023.0|20000.0|19900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
20,000 Kms
Lima, Lima"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/jetour-x70-plus-2023-1835859
