titulo|tipo|marca|modelo|año|kilometraje_km|precio|precio_etiqueta|tipo_transmision|caja|detalle|tags|ubicacion|url_auto
Hyundai Tucson 2024|nuevo|Hyundai|Tucson|2024.0|0.0|28490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSIÓN SPORT"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-tucson-2024-1846380
Hyundai Grand I10 2024|nuevo|Hyundai|Grand I10|2024.0||13490.0|$10K - $20K|Mecánica||"Gas GLP|Mecánica
Lima, Lima
GARANTÍA VIGENTE GRAND I10 FULL GLP"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2024-1846385
Hyundai Accent 2024|nuevo|Hyundai|Accent|2024.0||18990.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima
GARANTIA VIGENTE VERSIÓN SPORT"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-accent-2024-1846398
Hyundai Creta Grand 2025|nuevo|Hyundai|Creta Grand|2025.0||25990.0|$20K - $30K|Automática||"Gas GLP|Automática
Lima, Lima
GARANTÍA VIGENTE CRETA GRAND FULL GLP 2025"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-grand-2025-1846397
Ford F-150 2024|nuevo|Ford|F-150|2024.0|0.0|50990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|MOTOR POTENTE|Lima, Lima|https://neoauto.com/auto/nuevo/ford-f-150-2024-1717969
Honda Accord 2025|nuevo|Honda|Accord|2025.0|0.0|43990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-accord-2025-1827043
Kia Sportage 2025|nuevo|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846373
Ford Ranger 2025|nuevo|Ford|Ranger|2025.0|0.0|32990.0|$30K - $40K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-ranger-2025-1743708
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846410
Jmc Grand Avenue Comfort 2026|nuevo|JMC|Grand Avenue Comfort|2026.0||22490.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Visítanos Y Descubre Todas Tus Opciones"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-avenue-comfort-2026-1842718
Jmc Grand Avenue Luxury 2026|nuevo|JMC|Grand Avenue Luxury|2026.0||29490.0|$20K - $30K|Automática||"Diesel|Automática
Lima, Lima
¡Tu Próximo Pick Up Te Espera, No Lo Dejes Pasar!"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-avenue-luxury-2026-1842722
Kia Sportage 2025|nuevo|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846376
Nissan Kicks 2026|nuevo|Nissan|Kicks|2026.0|0.0|19390.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-kicks-2026-1709641
Honda Cr-V 2025|nuevo|Honda|Cr-V|2025.0|0.0|41490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-cr-v-2025-1709635
Ford Ranger Raptor 2024|nuevo|Ford|Ranger Raptor|2024.0|0.0|66990.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-ranger-raptor-2024-1747433
Mazda Cx-9 2025|nuevo|Mazda|Cx-9|2025.0|0.0|38990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-9-2025-1734339
Honda City 2024|nuevo|Honda|City|2024.0|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-city-2024-1843259
Renault Koleos 2025|nuevo|Renault|Koleos|2025.0|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-koleos-2025-1705787
Dfsk Glory 580 2025|nuevo|DFSK|Glory 580|2025.0|0.0|19290.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-580-2025-1826170
Honda Civic 2024|nuevo|Honda|Civic|2024.0|0.0|34990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-civic-2024-1709637
Dfsk Glory 600 2024|nuevo|DFSK|Glory 600|2024.0|0.0|27990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-600-2024-1827087
Mazda 3 2025|nuevo|Mazda|3|2025.0|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-3-2025-1705780
Jmc Jim Remax 4x4 2026|nuevo|JMC|Jim Remax 4x4|2026.0||17990.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Lima, Lima
Potencia Y Respaldo Que Hacen La Diferencia"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-jim-remax-4x4-2026-1842713
Mazda 2 2024|nuevo|Mazda|2|2024.0|0.0|20990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-2-2024-1827037
Renault Stepway 2025|nuevo|Renault|Stepway|2025.0|0.0|16490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-stepway-2025-1705791
Dfsk Glory 560 2026|nuevo|DFSK|Glory 560|2026.0|0.0|16190.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-560-2026-1827069
Honda Pilot 2025|nuevo|Honda|Pilot|2025.0|0.0|57990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-pilot-2025-1718653
Mazda Bt-50 2026|nuevo|Mazda|Bt-50|2026.0|0.0|30590.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-bt-50-2026-1705782
Ford Expedition 2025|nuevo|Ford|Expedition|2025.0|0.0|83990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-expedition-2025-1743700
Honda Hr-V 2025|nuevo|Honda|Hr-V|2025.0|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-hr-v-2025-1769746
Honda City 2024|nuevo|Honda|City|2024.0|0.0|32990.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|OCASIÓN|Lima, Lima|https://neoauto.com/auto/nuevo/honda-city-2024-1843626
Kia Sportage 2025|nuevo|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846407
Mazda 3 Sport 2024|nuevo|Mazda|3 Sport|2024.0|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-3-sport-2024-1705781
Dfsk D1 2024|nuevo|DFSK|D1|2024.0|0.0|21490.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-d1-2024-1827064
Kia Sportage 2025|nuevo|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846406
Nissan Sentra 2024|nuevo|Nissan|Sentra|2024.0|0.0|18190.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-sentra-2024-1709645
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846340
Jmc Grand Avenue Luxury 2026|nuevo|JMC|Grand Avenue Luxury|2026.0||23990.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Calidad, Eficiencia Y Atención Personalizada"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-avenue-luxury-2026-1842721
Renault Duster 2025|nuevo|Renault|Duster|2025.0|0.0|19490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-duster-2025-1705784
Dfsk C37 Minibus 2025|nuevo|Mini|Dfsk C37 bus|2025.0|0.0|12790.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-c37-minibus-2025-1827086
Hyundai Grand I10 2026|nuevo|Hyundai|Grand I10|2026.0|0.0|12490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2026-1702772
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846409
Ford Bronco Sport 2025|nuevo|Ford|Bronco Sport|2025.0|0.0|49490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-bronco-sport-2025-1706293
Mazda Cx-5 2026|nuevo|Mazda|Cx-5|2026.0|0.0|29490.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-5-2026-1705764
Kia Sportage 2025|nuevo|Kia|Sportage|2025.0|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846346
Ford Escape 2024|nuevo|Ford|Escape|2024.0|0.0|37990.0|$30K - $40K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-escape-2024-1827144
Nissan Frontier 2025|nuevo|Nissan|Frontier|2025.0|0.0|29500.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-frontier-2025-1709647
Mazda Cx-30 2024|nuevo|Mazda|Cx-30|2024.0|0.0|27990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-30-2024-1705778
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846341
Nissan X-Trail 2025|nuevo|Nissan|X-Trail|2025.0|0.0|31660.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-2025-1709646
Nissan Versa 2025|nuevo|Nissan|Versa|2025.0|0.0|17750.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-versa-2025-1709639
Hyundai Stargazer 2025|nuevo|Hyundai|Stargazer|2025.0|0.0|22490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-stargazer-2025-1827060
Renault Oroch 2026|nuevo|Renault|Oroch|2026.0|0.0|17490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-oroch-2026-1705789
Ford F-150 Raptor 2024|nuevo|Ford|F-150 Raptor|2024.0|0.0|99990.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-f-150-raptor-2024-1747435
Mazda Cx-90 2025|nuevo|Mazda|Cx-90|2025.0|0.0|48490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-90-2025-1743573
Hyundai I20 Hb 2026|nuevo|Hyundai|I20 Hb|2026.0|0.0|18890.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-i20-hb-2026-1702776
Ford Territory 2026|nuevo|Ford|Territory|2026.0|0.0|25990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-territory-2026-1726194
Mazda Cx-3 2025|nuevo|Mazda|Cx-3|2025.0|0.0|19990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-cx-3-2025-1705763
Nissan X-Trail E-Power 2025|nuevo|Nissan|X-Trail E-Power|2025.0|0.0|47740.0|$40K a más|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-x-trail-e-power-2025-1827089
Renault Kardian 2025|nuevo|Renault|Kardian|2025.0|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-kardian-2025-1827079
Ford Explorer 2025|nuevo|Ford|Explorer|2025.0|0.0|51990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-explorer-2025-1706299
Nissan Qashqai 2025|nuevo|Nissan|Qashqai|2025.0|0.0|31090.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-qashqai-2025-1827053
Jmc Vigus Plus Luxury 2026|nuevo|JMC|Vigus Plus Luxury|2026.0||18990.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo Pick Up En JMC GM Conversiones"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-vigus-plus-luxury-2026-1842716
Dfsk C35 2025|nuevo|DFSK|C35|2025.0|0.0|13490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-c35-2025-1827085
Hyundai Creta 2026|nuevo|Hyundai|Creta|2026.0|0.0|24290.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-creta-2026-1702779
Kia K3 Cross 2025|nuevo|Kia|K3 Cross|2025.0|0.0|19990.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-k3-cross-2025-1846338
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846415
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846413
Kia Sorento 2025|nuevo|Kia|Sorento|2025.0|0.0|35990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sorento-2025-1846419
Kia Sportage 2024|nuevo|Kia|Sportage|2024.0|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|[]|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846408
Mazda 6 2025|nuevo|Mazda|6|2025.0|0.0|28990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-6-2025-1827039
Ford Bronco 2024|nuevo|Ford|Bronco|2024.0|0.0|84990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-bronco-2024-1827048
Mazda 2 Sport 2025|nuevo|Mazda|2 Sport|2025.0|0.0|21490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-2-sport-2025-1827034
Hyundai Palisade 2025|nuevo|Hyundai|Palisade|2025.0|0.0|49990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-palisade-2025-1702785
Jmc Grand Touring Cargo 2026|nuevo|JMC|Grand Touring Cargo|2026.0||27990.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Atención Personalizada Y Respaldo Garantizado"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-grand-touring-cargo-2026-1842724
