titulo|tipo|marca|modelo|año|kilometraje|precio|precio_etiqueta|transmision|caja|detalle|tags|ubicacion|url_auto
Renault Kwid 2025|nuevo|Renault|Kwid|2025|0.0|31090.0|$30K - $40K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-qashqai-2025-1827053
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|19590.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-accent-2026-1702775
Nissan Frontier 2025|nuevo|Nissan|Frontier|2025|0.0|10990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-kwid-2025-1705788
Renault Duster 2025|nuevo|Renault|Duster|2025|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846408
Renault Kardian 2025|nuevo|Renault|Kardian|2025|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-city-2024-1709631
Kia Sorento 2025|nuevo|Kia|Sorento|2025|0.0|29500.0|$20K - $30K|Mecánica||"Diesel|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-frontier-2025-1709647
Nissan Sentra 2024|nuevo|Nissan|Sentra|2024|0.0|19490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-duster-2025-1705784
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Renault"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/renault-kardian-2025-1827079
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|29990.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2024-1846409
Kia K3 Cross 2025|nuevo|Kia|K3 Cross|2025|0.0|19990.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-k3-cross-2025-1846338
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846376
Mazda 3 Sport 2024|nuevo|Mazda|3 Sport|2024|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-3-sport-2024-1705781
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846346
Hyundai Venue 2026|nuevo|Hyundai|Venue|2026|0.0|17990.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-venue-2026-1702778
Hyundai Kona Hev 2025|nuevo|Hyundai|Kona Hev|2025|0.0|25990.0|$20K - $30K|Automática||"Híbrido|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-kona-hev-2025-1827057
Mazda Bt-50 2026|nuevo|Mazda|Bt-50|2026|0.0|30590.0|$30K - $40K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-bt-50-2026-1705782
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|13490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-glory-500-2025-1827067
Nissan Kicks 2026|nuevo|Nissan|Kicks|2026|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846407
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Vehículos 0KM En Honda Lima Norte"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-city-2024-1843259
Ford F-150 Raptor 2024|nuevo|Ford|F-150 Raptor|2024|0.0|19390.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Nissan"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/nissan-kicks-2026-1709641
Kia Sportage 2024|nuevo|Kia|Sportage|2024|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846373
Mazda 3 2025|nuevo|Mazda|3|2025|0.0|26990.0|$20K - $30K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/mazda-3-2025-1705780
Hyundai Stargazer 2025|nuevo|Hyundai|Stargazer|2025|0.0|13490.0|$10K - $20K|Mecánica||"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-c35-2025-1827085
Hyundai Accent 2025|nuevo|Hyundai|Accent|2025|0.0|22490.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-stargazer-2025-1827060
Ford Explorer 2025|nuevo|Ford|Explorer|2025||19490.0|$10K - $20K|Automática||"Gasolina|Automática
Lima, Lima
ENTREGA INMEDIATA VERSIÓN SPORT"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/hyundai-accent-2025-1846395
Kia Sportage 2025|nuevo|Kia|Sportage|2025|0.0|29990.0|$20K - $30K|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias DFSK"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/dfsk-e5-2025-1827084
Nissan Patrol 2024|nuevo|Nissan|Patrol|2024|0.0|41490.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/honda-cr-v-2025-1709635
Renault Master Furgon 2026|nuevo|Renault|Master Furgon|2026||17990.0|$10K - $20K|Mecánica||"Diesel|Mecánica
Lima, Lima
Potencia Y Respaldo Que Hacen La Diferencia"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/jmc-jim-remax-4x4-2026-1842713
Ford Maverick 2024|nuevo|Ford|Maverick|2024|0.0|51990.0|$40K a más|Automática||"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|PREMIUM|Lima, Lima|https://neoauto.com/auto/nuevo/ford-explorer-2025-1706299
Mazda Mx 5 2025|nuevo|Mazda|Mx 5|2025|0.0|30990.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Lima, Lima
Vehículo 0kms, Con Placa, Entrega Inmediata"|OCASIÓN|Lima, Lima|https://neoauto.com/auto/nuevo/kia-sportage-2025-1846416
Kia Sorento 2022|seminuevos|Kia|Sorento|2022|33800.0|27900.0|$20K - $30K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
33,800 Kms
Lima, Lima
KIA SORENTO"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sorento-2022-1844131
Land Rover Discovery 2018|seminuevos|Land Rover|Discovery|2018|54000.0|41000.0|$40K a más|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
54,000 Kms
Lima, Lima
Camioneta En Excelente Estado"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-discovery-2018-1839944
Jeep Compass 2023|seminuevos|Jeep|Compass|2023|25700.0|28500.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
25,700 Kms
Lima, Lima
Limited 4X2 1.3 A/T, GARANTÍA Y SERVICIOS DIVEMOTOR"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/jeep-compass-2023-1847811
Hyundai Creta Grand 2024|seminuevos|Hyundai|Creta Grand|2024|18.0|25490.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
18 Kms
Lima, Lima
AUTO 0 KM A PRECIO DE SEMINUEVO VERSION SPORT"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/hyundai-creta-grand-2024-1841355
Ram Rampage 2025|seminuevos|Ram|page|2025|9200.0|30500.0|$30K - $40K|Automática||"Gasolina|Automática
Kilometraje:
9,200 Kms
Lima, Lima
Big Horn 4X4, EX DEMO DIVEMOTOR, GARANTIA DE FABRICA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/ram-rampage-2025-1842965
Kia Sportage 2018|seminuevos|Kia|Sportage|2018|126000.0|14900.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
126,000 Kms
Lima, Lima"|SUPER EQUIPADO|Lima, Lima|https://neoauto.com/auto/seminuevo/honda-odyssey-2013-1839271
Changan Cs55 2023|seminuevos|Changan|Cs55|2023|35299.0|19500.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
35,299 Kms
Lima, Lima
KIA SPORTAGE LX AT FULL 2018"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/kia-sportage-2018-1834621
Volkswagen Jetta 2020|seminuevos|Volkswagen|Jetta|2020|41869.0|15700.0|$10K - $20K|Automática||"Gasolina|Automática
Kilometraje:
41,869 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/changan-cs55-2023-1841930
Volkswagen Amarok 2022|seminuevos|Volkswagen|Amarok|2022|29417.0|18900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
29,417 Kms
Lima, Lima
VOLKSWAGEN JETTA TRENDLINE TSI AT - 2020"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-jetta-2020-1829827
Subaru Forester 2023|seminuevos|Subaru|Forester|2023|10000.0|||Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
10,000 Kms
Lima, Lima
Camioneta En Excelente Estado - Disponible En Tienda"|SERVICIO CONCESIONARIO|Lima, Lima|https://neoauto.com/auto/seminuevo/maserati-levante-trofeo-2019-1763692
Toyota Corolla Cross 2022|seminuevos|Toyota|Corolla Cross|2022|89349.0|34900.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
89,349 Kms
Lima, Lima
BMW X3 SDRIVE 20i 2019"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/bmw-x3-20i-2019-1841125
Nissan Urvan 2023|seminuevos|Nissan|Urvan|2023|26180.0|39900.0|$30K - $40K|Automática|Secuencial|"Diesel|Automática - Secuencial
Kilometraje:
26,180 Kms
Lima, Lima
VOLKSWAGEN AMAROK"|UNICO DUEÑO|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-amarok-2022-1847096
Toyota Yaris Cross 2024|seminuevos|Toyota|Yaris Cross|2024|20000.0|19900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
20,000 Kms
Lima, Lima"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/jetour-x70-plus-2023-1835859
Hyundai Creta Grand 2025|seminuevos|Hyundai|Creta Grand|2025|43143.0|31000.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
43,143 Kms
Lima, Lima
SUBARU FORESTER 2.0I AWD CVT SI DRIV"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/subaru-forester-2023-1842864
Land Rover Discovery Sport 2016|seminuevos|Land Rover|Discovery Sport|2016|85783.0|22500.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
85,783 Kms
Lima, Lima
LAND ROVER RANGE ROVER DISCOVERY SPORT 2016 - FACTURABLE"|DE LUJO|Lima, Lima|https://neoauto.com/auto/seminuevo/land-rover-discovery-sport-2016-1703620
Volkswagen Tiguan 2015|seminuevos|Volkswagen|Tiguan|2015|57186.0|16900.0|$10K - $20K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
57,186 Kms
Lima, Lima
VOLKSWAGEN TIGUAN 2.0 / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2015-1739454
Toyota Cross 2022|seminuevos|Toyota|Cross|2022|53316.0|20990.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
53,316 Kms
Lima, Lima"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/toyota-cross-2022-1840618
Dodge Ram 2025|seminuevos|Dodge|Ram|2025|6500.0|32900.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
6,500 Kms
Lima, Lima
PICK AUTOMATICA - GARANTIA DE FABRICA"|SEMINUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/dodge-ram-2025-1842540
Dodge Ram 2025|seminuevos|Ram|Dodge|2025|7297.0|26900.0|$20K - $30K|Automática||"Gasolina|Automática
Kilometraje:
7,297 Kms
Lima, Lima
FORD TITANIUM 1.8 TURBO / JC UGARTE"|PREMIUM|Lima, Lima|https://neoauto.com/auto/seminuevo/ford-territory-2024-1845961
Ford Territory 2024|seminuevos|Ford|Territory|2024|10200.0|36900.0|$30K - $40K|Automática|Secuencial|"Gasolina|Automática - Secuencial
Kilometraje:
10,200 Kms
Lima, Lima
DEMO De Audi"|COMO NUEVO|Lima, Lima|https://neoauto.com/auto/seminuevo/audi-a4-2024-1846141
